Serial_Number,text,relabel_llm_output,llm_model,Label_Topic,csw-removed-comment
2025,"A similar incident happened in Kerala as well, and a biker was killed. But the culprit who is an IAS officer walked free.",6,llama3:70b,Views on Similar Cases in the Past,"A similar incident occurred in Kerala as well, resulting in the death of a biker. However, the IAS officer responsible for the crime managed to escape punishment."
2909,:red_heart:,5,llama3:70b,Irrelevant/General Comments,""":heart:"""
181,Bhai good video but face bloor krdo victims please,3,llama3:70b,Victim Sympathy,"""Bro, good video but please blur the faces of the victims."""
1852,You said rightly more shocking than the crime is the action of the judiciary. They are not above scrutiny. This is new India and we have all the right to question the judiciary.  More so on these kind of judgements. The judges should be sacked and their licence cancelled,0,llama3:70b,Judicial Accountability and Policy Demands,"""You said rightly more shocking than the crime is the action of the judiciary. They are not above scrutiny. This is new India and we have all the right to question the judiciary.  More so on these kind of judgements. The judges should be sacked and their licence cancelled :expressionless face"""
1602,Ek like karne per 95% banenge :smiling_face_with_smiling_eyes::smiling_face_with_smiling_eyes:,0,llama3:70b,Judicial Accountability and Policy Demands,"""Ninety-five percent will be banned just for liking something :smiling_face_with_smiling_eyes::smiling_face_with_smiling_eyes:"""
1463,"Govt keeps winning because his opposition is so weak like this.

My question is 75+ yrs on freedom for India and Congress had power for most yrs than any other govt, but they never felt the need to change laws / judicial system. Why?",3,llama3:70b,Victim Sympathy,"""Government keeps winning because its opposition is extremely weak like this.

My point is that even after 75+ years of India's independence and the Congress party having been in power for the majority of those years, they never felt the need to reform the laws or the judicial system."""
1611,Most curpt practices still in pune . No traffic rule no helmet nothing,1,llama3:70b,Public Safety,"""Most corrupt practices still prevalent in Pune. No traffic rules are followed, no helmets are worn, nothing."""
2124,please also cover ahemdabad accident wo bhi thode mahino pahele hi hua hai usme to jhada jaan gayi thi around 10 but because wo builder ka beta tha so wo chut gaya. and its the same case,6,llama3:70b,Views on Similar Cases in the Past,"""They should also cover the Ahmedabad accident, it happened a few months ago, a 10-year-old girl was killed by a crane, but because the builder was the boy's father, he got off scot-free, and it's the same case."""
1014,"If rich-poor all have same powers, all comes same under the eyes of law, then why am I even working hard to be rich. Think of it as perks of a job, the main moto is salary but we get perks, same by being rich I will get a healthy lifestyle as well as more power as perks",2,llama3:70b,Socioeconomic Privilege,"""If everyone had the same powers, regardless of being rich or poor, and we're all equal under the law, then why am I working so hard to get rich? Think of it like a job, the main goal is the salary, but you get benefits too, similarly, being rich gives me a better lifestyle and more power as benefits."""
1165,Mr agarwal  has paid  lots  of money  to police ministet an driver  crores of money to close the case,2,llama3:70b,Socioeconomic Privilege,"""Mr. Agarwal has paid a huge amount of money to the police minister and his driver, crores of rupees, to get the case closed."""
3053,पैशाचा माज :globe_showing_Americas::money_with_wings:,5,llama3:70b,Irrelevant/General Comments,"""Judges are getting salaries from America, it seems."""
1625,Poor family of those victim,3,llama3:70b,Victim Sympathy,"""The family of those victims is extremely poor."""
1872,Its very alarming that every week we hear such news. We have to be really careful and do proper research before visiting a place. Always ask locals or take an experienced person with you.,4,llama3:70b,Anger or Outrage,"This comment does not appear to be in Hinglish, Marathi, or code-mixed. It's a neutral comment about public safety and not related to Indian politics, judiciary, or specific events."
28,Her narrative about rich people and elite are always soft....,2,llama3:70b,Socioeconomic Privilege,She always has a soft spot for the rich and the elite.
2021,"For poors, there is nothing. India is like, it is for politicians and rich people only. If it happened to rich then there is havoc in media",4,llama3:70b,Anger or Outrage,"""There's nothing for the poor. India is only for politicians and the wealthy. If this happened to the rich, there would be a media frenzy."""
1918,Leave that poor innocent kid alone. He made a mistake. Wrote an essay too as per the punishment. Now all leave him alone…poor boy must be traumatised.,1,llama3:70b,Public Safety,Leave that poor innocent kid alone. He made a mistake. Wrote an essay as per the punishment. Now all leave him alone... the poor boy must be traumatized.
195,agr ye case uk me hota to usi month fesla hojata .,5,llama3:70b,Irrelevant/General Comments,"""If this case had happened in the UK, it would have been reported this month itself."""
1546,"Life is joke this video proved that, it's like you can pay money for the sins you did.",2,llama3:70b,Socioeconomic Privilege,"""This video is a joke, it's clear that you can buy your way out of trouble."""
524,Indian Judiciary is Biased.,0,llama3:70b,Judicial Accountability and Policy Demands,The Indian Judiciary is biased.
1689,Love you druv bhai:red_heart::red_heart::red_heart::red_heart::red_heart::red_heart:,5,llama3:70b,Irrelevant/General Comments,"""I love you Dravida Munnetra Kazhagam (DMK) brother."""
1073,"If he wants to act like an adult - consume alcohol, drive a car, stay out late, then why is he not ready to face the consequences of his actions like an adult?",3,llama3:70b,Victim Sympathy,"""Why can't he act like a responsible adult if he's allowed to do things like drink, drive, and stay out late, then he should also be prepared to face the consequences like one?"""
400,"Pune ki police ko bas dusri state ki gadiyo se pase lene main busy hai, pune main na koi helmet lagta, car main black sheeshe and no management",4,llama3:70b,Anger or Outrage,"""Pune's police are too busy stopping cars from other states to care about the chaos here, in Pune, no one wears helmets, cars have black tinted windows, and no one knows how to manage."""
138,Justice is different for poor and the rich. If it had been a poor taxi driver he would be rotting in jail for life.,2,llama3:70b,Socioeconomic Privilege,"""Justice is clearly biased towards the wealthy. If a poor taxi driver had committed the same crime, he would be serving a life sentence in prison."""
1508,Our judiciary system :clown_face:,4,llama3:70b,Anger or Outrage,"""Our judiciary system is a joke :clown_face:"""
1945,"No problem with that rich kid, but justice must be served. India needs to educate kids from start about traffic rules, needs to strict the license issuing",1,llama3:70b,Public Safety,"""There's no issue with that rich kid, but justice should be delivered nonetheless. India needs to educate children from a young age about traffic regulations and tighten the process of issuing driving licenses."""
2661,"Nothing happens to that boy and his father...
This happens everytime..five months ago morning walkers girls on footpath were hit and run  by the 17 years old boy speed ..till now there is no charge was taken by any police department in hyderabad...
Police department is for rich and power people not for common people

Ref: Bandlaguda suncity accident..",6,llama3:70b,Views on Similar Cases in the Past,"""Nothing happens to that boy and his father. This happens every time. Five months ago, girls on footpaths were hit and run by a 17-year-old boy while he was speeding. To this day, no charges have been filed against him by the Hyderabad police department. The police department only serves the rich and powerful, not the common people. :expressionless face"""
